대전2호 전민점,대전 유성구 유성대로 1728 1층,042-862-4921,2020.4.8
대전 월평점,대전 서구 청사서로 41 120호,042-482-3140,2020.3.26
부산 해운대점,부산 해운대구 세실로27번길 21-1 1층,051-702-2242,2020.4.1
남양주 다산점,경기 남양주시 다산순환로 350 kb골든타워 123호,031-554-7007,2020.2.11
서울 화랑대점 ,서울 노원구 노원로1길 67,02-949-5080,2020.1.31
서울 목동본점,서울 양천구 목동서로 57,02-2652-9990,2019.11.7
서판교점,경기 성남시 분당구 운중로 123,031-707-3787,2023.3.28
인천 송림점,인천 동구 송림로 84,032-715-8329,2023.3.24
인천학익점,인천 미추홀구 매소홀로 468,032-876-9896,2023.3.24
청라메가박스점,인천 서구 청라에메랄드로 99,070-4833-8387,2023.3.22
순천 오천점,전남 순천시 오천6길 57,061-811-2558,2023.3.21
영주 가흥점,경북 영주시 대학로 207,054-634-3735,2023.3.17
청주 오송점,충북 청주시 흥덕구 오송읍 오송생명5로 184-4,043-231-7379,2023.3.15
교대역점,서울 서초구 서초중앙로 110,02-525-5489,2023.3.14
군자역점,서울 광진구 천호대로 530,02-466-9907,2023.3.11
이천 하이닉스점,경기 이천시 부발읍 경충대로2092번길 14,031-636-0209,2023.3.10
경주 용강점,경북 경주시 용황구획4길 47,054-773-4885,2023.3.10
수원역로데오점,경기 수원시 팔달구 갓매산로 51,031-547-9882,2023.3.8
부산시청점,부산 연제구 거제천로 82,051-867-9956,2023.3.7
목동시장점,서울 양천구 목동중앙본로7길 45,02-2647-3336,2023.3.4
인천 연수점,인천 연수구 먼우금로 190,032-818-3505,2023.3.3
일산 풍동점,경기 고양시 일산동구 숲속마을로 38,031-8073-9099,2023.2.26
세종 조치원점,세종특별자치시 조치원읍 행복길 9,044-866-5630,2023.2.25
전주 만성점,전북 전주시 덕진구 만성중앙로 39,063-211-7100,2023.2.24
광주 문흥점,광주광역시 북구 문산로 30,062-251-0700,2023.2.21
잠실새마을시장점,서울 송파구 올림픽로12길 31,02-2202-1257,2023.2.20
부산 문현점,부산 남구 지게골로 50,051-711-5050,2023.2.18
김포 사우점,경기 김포시 사우중로 88,031-8049-0633,2023.2.17
수원 우만점,경기 수원시 팔달구 권광로 373,031-217-1171,2023.2.15
울주 덕신점,울산 울주군 온산읍 덕신로 277,052-239-0603,2023.2.14
